date,equity,drawdown,position,xgb_signal,ppo_signal,sentiment_signal
958,2.667782735921782,-0.000999999999999986,0,1,-1,1
959,2.667782735921782,-0.000999999999999986,0,-1,1,1
960,2.6647694463375293,-0.0021283813535993663,1,1,1,1
961,2.7129506466645594,0.0,1,1,1,1
962,2.7102376960178947,-0.0010000000000000772,0,-1,1,1
963,2.7102376960178947,-0.0010000000000000772,0,0,1,1
964,2.7003939476635717,-0.004628428835012395,1,1,1,1
965,2.7343591339558877,0.0,1,1,1,1
966,2.731624774821932,-0.000999999999999931,0,0,1,1
967,2.731624774821932,-0.000999999999999931,0,-1,1,1
968,2.72706853455976,-0.002666291821579446,1,1,1,1
969,2.7276381215612653,-0.002457984509481352,1,1,1,1
970,2.724910483439704,-0.0034555265249717995,0,-1,1,1
971,2.724910483439704,-0.0034555265249717995,0,1,-1,1
972,2.7414982856078463,0.0,1,1,1,1
973,2.7711539413004376,0.0,1,1,1,1
974,2.791248928475578,0.0,1,1,1,1
975,2.7884576795471028,-0.0009999999999999276,0,-1,1,1
976,2.7884576795471028,-0.0009999999999999276,0,-1,1,1
977,2.7841938220724636,-0.0025275805146363906,1,1,1,1
978,2.7814096282503913,-0.0035250529341216918,0,-1,1,1
979,2.7387055188073304,-0.018824336708995713,1,1,1,1
980,2.7498904847273162,-0.014817182131745432,1,1,1,1
981,2.7840105611597767,-0.002593236039235882,1,1,1,1
982,2.8195431705263,0.0,1,1,1,1
983,2.8482401245184934,0.0,1,1,1,1
984,2.8453918843939747,-0.0010000000000000638,0,-1,1,1
985,2.808120382818532,-0.014085800334950218,1,1,1,1
986,2.8474563449651944,-0.00027518029345629814,1,1,1,1
987,2.8502342968985306,0.0,1,1,1,1
988,2.8646796469518794,0.0,1,1,1,1
989,2.8744580920140965,0.0,1,1,1,1
990,2.8715836339220826,-0.0009999999999999389,0,-1,1,1
991,2.8715836339220826,-0.0009999999999999389,0,1,0,1
992,2.874599798121318,0.0,1,1,1,1
993,2.8717251983231966,-0.0009999999999999636,0,-1,1,1
994,2.8717251983231966,-0.0009999999999999636,0,1,0,1
995,2.8717251983231966,-0.0009999999999999636,0,1,0,1
996,2.8717251983231966,-0.0009999999999999636,0,-1,0,1
997,2.8717251983231966,-0.0009999999999999636,0,-1,0,1
998,2.8717251983231966,-0.0009999999999999636,0,0,0,1
999,2.9463083672326853,0.0,1,1,1,1
1000,3.0237988550504937,0.0,1,1,1,1
1001,3.0207750561954434,-0.000999999999999946,0,1,0,1
1002,3.0207750561954434,-0.000999999999999946,0,-1,1,1
1003,3.0207750561954434,-0.000999999999999946,0,-1,0,1
1004,3.0207750561954434,-0.000999999999999946,0,1,0,1
1005,3.0207750561954434,-0.000999999999999946,0,-1,0,1
1006,3.0207750561954434,-0.000999999999999946,0,-1,0,1
1007,3.0207750561954434,-0.000999999999999946,0,1,0,1
1008,3.0207750561954434,-0.000999999999999946,0,1,0,1
1009,3.0207750561954434,-0.000999999999999946,0,1,0,1
1010,3.0207750561954434,-0.000999999999999946,0,0,1,1
1011,3.0207750561954434,-0.000999999999999946,0,1,0,1
1012,3.058528440498249,0.0,1,1,1,1
1013,3.0554699120577506,-0.0010000000000000015,0,1,0,1
1014,3.0554699120577506,-0.0010000000000000015,0,-1,1,1
1015,3.0554699120577506,-0.0010000000000000015,0,-1,0,1
1016,3.0554699120577506,-0.0010000000000000015,0,1,0,1
1017,3.0554699120577506,-0.0010000000000000015,0,1,0,1
1018,3.0554699120577506,-0.0010000000000000015,0,1,0,1
1019,3.0554699120577506,-0.0010000000000000015,0,0,0,1
1020,3.0554699120577506,-0.0010000000000000015,0,1,0,1
1021,3.0554699120577506,-0.0010000000000000015,0,1,0,1
1022,3.0554699120577506,-0.0010000000000000015,0,-1,1,1
1023,3.0554699120577506,-0.0010000000000000015,0,-1,0,1
1024,3.0554699120577506,-0.0010000000000000015,0,1,0,1
1025,3.0554699120577506,-0.0010000000000000015,0,-1,0,1
1026,3.0554699120577506,-0.0010000000000000015,0,-1,0,1
1027,3.0554699120577506,-0.0010000000000000015,0,1,0,1
1028,3.0554699120577506,-0.0010000000000000015,0,1,0,1
1029,3.0554699120577506,-0.0010000000000000015,0,-1,0,1
1030,3.0554699120577506,-0.0010000000000000015,0,-1,0,1
1031,3.0554699120577506,-0.0010000000000000015,0,-1,0,1
1032,3.0554699120577506,-0.0010000000000000015,0,1,0,1
1033,3.0554699120577506,-0.0010000000000000015,0,1,0,1
1034,3.0554699120577506,-0.0010000000000000015,0,1,-1,1
1035,3.0554699120577506,-0.0010000000000000015,0,0,-1,1
1036,3.0554699120577506,-0.0010000000000000015,0,1,-1,1
1037,3.0554699120577506,-0.0010000000000000015,0,1,-1,1
1038,3.0554699120577506,-0.0010000000000000015,0,-1,-1,1
1039,3.0554699120577506,-0.0010000000000000015,0,1,-1,1
1040,3.0554699120577506,-0.0010000000000000015,0,1,-1,1
1041,3.0554699120577506,-0.0010000000000000015,0,1,0,1
1042,3.0554699120577506,-0.0010000000000000015,0,1,0,1
1043,3.0554699120577506,-0.0010000000000000015,0,1,0,1
1044,3.0554699120577506,-0.0010000000000000015,0,1,0,1
1045,3.0554699120577506,-0.0010000000000000015,0,1,0,1
1046,3.0554699120577506,-0.0010000000000000015,0,1,0,1
1047,3.0554699120577506,-0.0010000000000000015,0,1,0,1
1048,3.0554699120577506,-0.0010000000000000015,0,1,0,1
1049,3.0554699120577506,-0.0010000000000000015,0,1,0,1
1050,3.0554699120577506,-0.0010000000000000015,0,0,0,1
1051,3.0554699120577506,-0.0010000000000000015,0,-1,0,1
1052,3.0554699120577506,-0.0010000000000000015,0,0,0,1
1053,3.0554699120577506,-0.0010000000000000015,0,0,0,1
1054,3.0554699120577506,-0.0010000000000000015,0,1,0,1
1055,3.0554699120577506,-0.0010000000000000015,0,-1,0,1
1056,3.0554699120577506,-0.0010000000000000015,0,-1,0,1
1057,3.0554699120577506,-0.0010000000000000015,0,-1,0,1
1058,3.0554699120577506,-0.0010000000000000015,0,-1,0,1
1059,3.0554699120577506,-0.0010000000000000015,0,-1,0,1
1060,3.0554699120577506,-0.0010000000000000015,0,-1,0,1
1061,3.0554699120577506,-0.0010000000000000015,0,-1,0,1
1062,3.0554699120577506,-0.0010000000000000015,0,0,0,1
1063,3.0554699120577506,-0.0010000000000000015,0,0,-1,1
1064,3.0554699120577506,-0.0010000000000000015,0,-1,0,1
1065,3.0554699120577506,-0.0010000000000000015,0,-1,0,1
1066,3.0554699120577506,-0.0010000000000000015,0,-1,0,1
1067,3.0554699120577506,-0.0010000000000000015,0,-1,0,1
1068,3.0554699120577506,-0.0010000000000000015,0,-1,0,1
1069,3.0554699120577506,-0.0010000000000000015,0,-1,0,1
1070,3.0554699120577506,-0.0010000000000000015,0,-1,-1,1
1071,3.0554699120577506,-0.0010000000000000015,0,-1,-1,1
1072,3.0554699120577506,-0.0010000000000000015,0,-1,-1,1
1073,3.0554699120577506,-0.0010000000000000015,0,-1,0,1
1074,3.0554699120577506,-0.0010000000000000015,0,0,0,1
1075,3.0554699120577506,-0.0010000000000000015,0,0,0,1
1076,3.0554699120577506,-0.0010000000000000015,0,-1,0,1
1077,3.0554699120577506,-0.0010000000000000015,0,-1,0,1
1078,3.0554699120577506,-0.0010000000000000015,0,-1,0,1
1079,3.0554699120577506,-0.0010000000000000015,0,0,0,1
1080,3.0554699120577506,-0.0010000000000000015,0,-1,1,1
1081,3.0554699120577506,-0.0010000000000000015,0,-1,1,1
1082,3.0554699120577506,-0.0010000000000000015,0,0,-1,1
1083,3.0554699120577506,-0.0010000000000000015,0,-1,1,1
1084,3.0554699120577506,-0.0010000000000000015,0,-1,-1,1
1085,3.104593377955354,0.0,1,1,1,1
1086,3.101488784577399,-0.000999999999999954,0,-1,1,1
1087,3.101488784577399,-0.000999999999999954,0,-1,1,1
1088,3.101488784577399,-0.000999999999999954,0,-1,1,1
1089,3.101488784577399,-0.000999999999999954,0,0,1,1
1090,3.101488784577399,-0.000999999999999954,0,0,-1,1
1091,3.101488784577399,-0.000999999999999954,0,1,-1,1
1092,3.101488784577399,-0.000999999999999954,0,0,0,1
1093,3.2716858554380983,0.0,1,1,1,1
1094,3.2684141695826603,-0.0009999999999999768,0,1,0,1
1095,3.3200568799197647,0.0,1,1,1,1
1096,3.345411471572802,0.0,1,1,1,1
1097,3.4350289977307096,0.0,1,1,1,1
1098,3.4384175781594357,0.0,1,1,1,1
1099,3.4040077548261665,-0.01000745911486662,1,1,1,1
1100,3.40060374707134,-0.010997451655751792,0,0,1,1
1101,3.401676741791223,-0.010685391036152174,1,1,1,1
1102,3.3982750650494316,-0.011674705645116032,0,-1,1,1
1103,3.4028690220544315,-0.010338638427980905,1,1,1,1
1104,3.351459226059532,-0.025290224390503446,1,1,1,1
1105,3.3481077668334724,-0.026264934166113,0,0,1,1
1106,3.3481077668334724,-0.026264934166113,0,0,0,1
1107,3.3481077668334724,-0.026264934166113,0,-1,1,1
1108,3.3481077668334724,-0.026264934166113,0,-1,1,1
1109,3.48261885459217,0.0,1,1,1,1
1110,3.520630354183653,0.0,1,1,1,1
1111,3.5171097238294697,-0.000999999999999952,0,-1,1,1
1112,3.501797018243799,-0.005349421565224509,1,1,1,1
1113,3.5130758153045973,-0.002145791554083102,1,1,1,1
1114,3.484458111055689,-0.010274365522350193,1,1,1,1
1115,3.488049297575205,-0.009254324746058966,1,1,1,1
1116,3.48456124827763,-0.010245070421312931,0,-1,1,1
1117,3.48456124827763,-0.010245070421312931,0,-1,1,1
1118,3.48456124827763,-0.010245070421312931,0,0,1,1
1119,3.48456124827763,-0.010245070421312931,0,0,1,1
1120,3.48456124827763,-0.010245070421312931,0,-1,0,1
1121,3.48456124827763,-0.010245070421312931,0,-1,1,1
1122,3.482167845901906,-0.01092489253694055,1,1,1,1
1123,3.478685678056004,-0.01191396764440365,0,1,0,1
1124,3.478685678056004,-0.01191396764440365,0,0,0,1
1125,3.478685678056004,-0.01191396764440365,0,-1,0,1
1126,3.478685678056004,-0.01191396764440365,0,1,0,1
1127,3.478685678056004,-0.01191396764440365,0,1,0,1
1128,3.478685678056004,-0.01191396764440365,0,0,0,1
1129,3.478685678056004,-0.01191396764440365,0,1,0,1
1130,3.478685678056004,-0.01191396764440365,0,1,0,1
1131,3.478685678056004,-0.01191396764440365,0,-1,0,1
1132,3.478685678056004,-0.01191396764440365,0,1,0,1
1133,3.478685678056004,-0.01191396764440365,0,1,0,1
1134,3.478685678056004,-0.01191396764440365,0,0,0,1
1135,3.478685678056004,-0.01191396764440365,0,1,0,1
1136,3.478685678056004,-0.01191396764440365,0,1,0,1
1137,3.478685678056004,-0.01191396764440365,0,-1,0,1
1138,3.478685678056004,-0.01191396764440365,0,-1,0,1
1139,3.478685678056004,-0.01191396764440365,0,-1,0,1
1140,3.478685678056004,-0.01191396764440365,0,-1,0,1
1141,3.478685678056004,-0.01191396764440365,0,-1,0,1
1142,3.478685678056004,-0.01191396764440365,0,-1,-1,1
1143,3.478685678056004,-0.01191396764440365,0,-1,-1,1
1144,3.478685678056004,-0.01191396764440365,0,-1,-1,1
1145,3.478685678056004,-0.01191396764440365,0,-1,-1,1
1146,3.478685678056004,-0.01191396764440365,0,-1,-1,1
1147,3.478685678056004,-0.01191396764440365,0,-1,-1,1
1148,3.478685678056004,-0.01191396764440365,0,-1,-1,1
1149,3.478685678056004,-0.01191396764440365,0,0,-1,1
1150,3.478685678056004,-0.01191396764440365,0,0,-1,1
1151,3.478685678056004,-0.01191396764440365,0,0,-1,1
1152,3.478685678056004,-0.01191396764440365,0,1,-1,1
1153,3.478685678056004,-0.01191396764440365,0,1,-1,1
1154,3.478685678056004,-0.01191396764440365,0,-1,-1,1
1155,3.478685678056004,-0.01191396764440365,0,-1,-1,1
1156,3.478685678056004,-0.01191396764440365,0,0,-1,1
1157,3.478685678056004,-0.01191396764440365,0,-1,-1,1
1158,3.478685678056004,-0.01191396764440365,0,-1,0,1
1159,3.478685678056004,-0.01191396764440365,0,-1,0,1
1160,3.478685678056004,-0.01191396764440365,0,0,0,1
1161,3.478685678056004,-0.01191396764440365,0,1,0,1
1162,3.478685678056004,-0.01191396764440365,0,0,0,1
1163,3.478685678056004,-0.01191396764440365,0,0,0,1
1164,3.478685678056004,-0.01191396764440365,0,0,0,1
1165,3.478685678056004,-0.01191396764440365,0,-1,0,1
1166,3.478685678056004,-0.01191396764440365,0,0,0,1
1167,3.478685678056004,-0.01191396764440365,0,-1,0,1
1168,3.478685678056004,-0.01191396764440365,0,0,0,1
1169,3.478685678056004,-0.01191396764440365,0,0,0,1
1170,3.4926480056136135,-0.00794810751341377,1,1,1,1
1171,3.489155357608,-0.008940159405900368,0,1,0,1
1172,3.489155357608,-0.008940159405900368,0,-1,1,1
1173,3.495008296622084,-0.0072776903519910195,1,1,1,1
1174,3.560862933757583,0.0,1,1,1,1
1175,3.5573020708238254,-0.0009999999999999961,0,1,0,1
1176,3.5573020708238254,-0.0009999999999999961,0,1,0,1
1177,3.5573020708238254,-0.0009999999999999961,0,1,0,1
1178,3.5573020708238254,-0.0009999999999999961,0,-1,0,1
1179,3.5573020708238254,-0.0009999999999999961,0,-1,0,1
1180,3.5573020708238254,-0.0009999999999999961,0,-1,1,1
1181,3.5573020708238254,-0.0009999999999999961,0,-1,1,1
1182,3.54455797839135,-0.004578933721840112,1,1,1,1
1183,3.547272340474129,-0.003816657236259506,1,1,1,1
1184,3.543725068133655,-0.004812840579023187,0,-1,1,1
1185,3.543725068133655,-0.004812840579023187,0,-1,0,1
1186,3.543725068133655,-0.004812840579023187,0,-1,1,1
1187,3.543725068133655,-0.004812840579023187,0,-1,1,1
1188,3.543725068133655,-0.004812840579023187,0,0,1,1
1189,3.5659906058091426,0.0,1,1,1,1
1190,3.4986660561544682,-0.0188796205870537,1,1,1,1
1191,3.486099790330643,-0.022403540645439243,1,1,1,1
1192,3.4826136905403122,-0.023381137104793837,0,0,1,1
1193,3.448068614422932,-0.033068508703895834,1,1,1,1
1194,3.46494736308116,-0.028335252079290198,1,1,1,1
1195,3.479618954157746,-0.024220942004360216,1,1,1,1
1196,3.489746266749425,-0.021380970251439393,1,1,1,1
1197,3.4589750729769366,-0.0300100433966016,1,1,1,1
1198,3.45551609790396,-0.03098003335320495,0,0,1,1
1199,3.45551609790396,-0.03098003335320495,0,-1,-1,1
1200,3.4604198029921722,-0.029604902111910025,1,1,1,1
1201,3.513573224432374,-0.014699248307434831,1,1,1,1
1202,3.510059651207942,-0.01568454905912736,0,-1,-1,1
1203,3.510059651207942,-0.01568454905912736,0,-1,-1,1
1204,3.4763362863684346,-0.025141490640681302,1,1,1,1
1205,3.472859950082066,-0.026116349150040657,0,-1,1,1
1206,3.472859950082066,-0.026116349150040657,0,0,-1,1
1207,3.472859950082066,-0.026116349150040657,0,0,1,1
1208,3.472859950082066,-0.026116349150040657,0,1,-1,1
1209,3.472859950082066,-0.026116349150040657,0,1,-1,1
1210,3.472859950082066,-0.026116349150040657,0,0,-1,1
1211,3.472859950082066,-0.026116349150040657,0,-1,1,1
1212,3.472859950082066,-0.026116349150040657,0,-1,1,1
1213,3.472859950082066,-0.026116349150040657,0,-1,1,1
1214,3.472859950082066,-0.026116349150040657,0,-1,1,1
1215,3.472859950082066,-0.026116349150040657,0,-1,-1,1
1216,3.5278690392425536,-0.010690316038546898,1,1,1,1
1217,3.524341170203311,-0.01167962572250831,0,0,1,1
1218,3.5589098761796194,-0.0019856276732721687,1,1,1,1
1219,3.520316433733821,-0.012808270442697316,1,1,1,1
1220,3.555548100935098,-0.0029283601748791408,1,1,1,1
1221,3.5519925528341627,-0.003925431814704313,0,0,1,1
1222,3.5040253550536686,-0.017376728546208198,1,1,1,1
